Date,Price,Open,High,Low,Change %
5/20/2022,1851.5,1851.5,1851.5,1851.5,0.00%
5/19/2022,1851.5,1851.5,1851.5,1851.5,0.08%
5/18/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/17/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/16/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/13/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/12/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/11/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/10/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/9/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/6/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/5/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/4/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/3/2022,1850.0,1851.5,1851.5,1851.5,0.00%
5/2/2022,1850.0,1851.5,1851.5,1851.5,-0.08%
4/29/2022,1851.5,1851.5,1851.5,1851.5,0.08%
4/28/2022,1850.0,1851.5,1851.5,1851.5,0.00%
4/27/2022,1850.0,1851.5,1851.5,1851.5,0.00%
4/26/2022,1850.0,1851.5,1851.5,1851.5,0.00%
4/25/2022,1850.0,1851.5,1851.5,1851.5,0.00%
4/22/2022,1850.0,1851.5,1851.5,1851.5,0.00%
4/21/2022,1850.0,1851.5,1851.5,1851.5,0.00%
4/20/2022,1850.0,1851.5,1851.5,1851.5,0.00%
4/19/2022,1850.0,1851.5,1851.5,1851.5,0.00%
4/18/2022,1850.0,1851.5,1851.5,1851.5,0.00%
4/8/2022,1850.0,1851.5,1851.5,1851.5,0.00%
4/7/2022,1850.0,1851.5,1851.5,1851.5,4.55%
3/31/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/30/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/29/2022,1769.5,1778.2,1778.2,1778.2,-0.03%
3/28/2022,1770.0,1778.5,1778.5,1778.5,0.03%
3/25/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/24/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/23/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/22/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/21/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/18/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/17/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/15/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/14/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/11/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/10/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/9/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/8/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/7/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/4/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/3/2022,1769.5,1778.2,1778.2,1778.2,0.00%
3/1/2022,1769.5,1778.2,1778.2,1778.2,0.00%
2/28/2022,1769.5,1778.2,1778.2,1778.2,0.00%
2/25/2022,1769.5,1778.2,1778.2,1778.2,0.00%
2/24/2022,1769.5,1778.2,1778.2,1778.2,0.00%
2/23/2022,1769.5,1778.2,1778.2,1778.2,0.00%
2/22/2022,1769.5,1778.2,1778.2,1778.2,0.00%
2/21/2022,1769.5,1778.1,1778.1,1778.1,0.00%
2/18/2022,1769.5,1778.1,1778.1,1778.1,0.00%
2/17/2022,1769.5,1778.1,1778.1,1778.1,0.00%
2/16/2022,1769.5,1778.1,1778.1,1778.1,0.00%
2/15/2022,1769.5,1778.1,1778.1,1778.1,0.00%
2/14/2022,1769.5,1778.1,1778.1,1778.1,0.00%
2/11/2022,1769.5,1778.1,1778.1,1778.1,0.00%
2/10/2022,1769.5,1778.0,1778.0,1778.0,0.00%
2/9/2022,1769.5,1778.0,1778.0,1778.0,0.00%
2/8/2022,1769.5,1778.0,1778.0,1778.0,0.00%
2/7/2022,1769.5,1778.0,1778.0,1778.0,0.00%
2/4/2022,1769.5,1778.0,1778.0,1778.0,0.00%
2/3/2022,1769.5,1778.0,1778.0,1778.0,0.00%
2/2/2022,1769.5,1778.0,1778.0,1778.0,0.00%
2/1/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/31/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/28/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/27/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/26/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/25/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/24/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/21/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/20/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/19/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/18/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/17/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/14/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/13/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/12/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/11/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/10/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/7/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/6/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/5/2022,1769.5,1778.0,1778.0,1778.0,0.00%
1/3/2022,1769.5,1778.0,1778.0,1778.0,0.00%
12/30/2021,1769.5,1778.0,1778.0,1778.0,0.00%
12/29/2021,1769.5,1778.0,1778.0,1778.0,0.00%
12/28/2021,1769.5,1778.0,1778.0,1778.0,0.00%
12/27/2021,1769.5,1778.0,1778.0,1778.0,-0.48%
12/24/2021,1778.0,1778.0,1778.0,1778.0,0.48%
12/23/2021,1769.5,1778.0,1778.0,1778.0,0.00%
12/22/2021,1769.5,1778.0,1778.0,1778.0,0.00%
12/21/2021,1769.5,1778.0,1778.0,1778.0,0.00%
